SINGLE_LINE_ADDRESS,SUB_BUILDING,BUILDING_NAME,BUILDING_NUMBER,STREET_NAME,LOCALITY,TOWN_NAME
"21 HEXWORTHY AVENUE, EXETER, EX4 2NL",,,21,HEXWORTHY AVENUE,,EXETER
"20 FORE STREET, IDE, EXETER, EX2 9RQ",,,20,FORE STREET,,IDE
"48 HADRIAN DRIVE, EXETER, EX4 1SR",,,48,HADRIAN DRIVE,,EXETER
"16 ST ALBANS CLOSE, EXETER, EX4 2NE",,,16,ST ALBANS CLOSE,,EXETER
"37 CHELMSFORD ROAD, EXETER, EX4 2LN",,,37,CHELMSFORD ROAD,,EXETER
"14 WHEATLEY CLOSE, EXETER, EX4 1NT",,,14,WHEATLEY CLOSE,,EXETER
"120 GLOUCESTER ROAD, EXETER, EX4 2JB",,,120,GLOUCESTER ROAD,,EXETER
"22 CHELTENHAM CLOSE, EXETER, EX4 2EL",,,22,CHELTENHAM CLOSE,,EXETER
"THE GATEHOUSE, 2 DRAKES FARM, IDE, EXETER, EX2 9RL",,THE GATEHOUSE,2,DRAKES FARM,,IDE
"22 BARLEY LANE, EXETER, EX4 1TD",,,22,BARLEY LANE,,EXETER
"25 CROFT CHASE, EXETER, EX4 1TB",,,25,CROFT CHASE,,EXETER
"13 WHEATLEY CLOSE, EXETER, EX4 1NT",,,13,WHEATLEY CLOSE,,EXETER
"21 ST ALBANS CLOSE, EXETER, EX4 2NE",,,21,ST ALBANS CLOSE,,EXETER
"34 CHELTENHAM CLOSE, EXETER, EX4 2EL",,,34,CHELTENHAM CLOSE,,EXETER
"23 MEDLEY COURT, EXETER, EX4 2QN",,,23,MEDLEY COURT,,EXETER
"24 MEDLEY COURT, EXETER, EX4 2QN",,,24,MEDLEY COURT,,EXETER
"25 MEDLEY COURT, EXETER, EX4 2QN",,,25,MEDLEY COURT,,EXETER
"4 GARLAND CLOSE, EXETER, EX4 2NS",,,4,GARLAND CLOSE,,EXETER
"51 GARLAND CLOSE, EXETER, EX4 2NT",,,51,GARLAND CLOSE,,EXETER
"18 FORE STREET, IDE, EXETER, EX2 9RQ",,,18,FORE STREET,,IDE
"26 MEDLEY COURT, EXETER, EX4 2QN",,,26,MEDLEY COURT,,EXETER
"27 MEDLEY COURT, EXETER, EX4 2QN",,,27,MEDLEY COURT,,EXETER
"12 WHEATLEY CLOSE, EXETER, EX4 1NT",,,12,WHEATLEY CLOSE,,EXETER
"46 HADRIAN DRIVE, EXETER, EX4 1SR",,,46,HADRIAN DRIVE,,EXETER
"33 CHELTENHAM CLOSE, EXETER, EX4 2EL",,,33,CHELTENHAM CLOSE,,EXETER
"19 HEXWORTHY AVENUE, EXETER, EX4 2NL",,,19,HEXWORTHY AVENUE,,EXETER
"10 WHEATLEY CLOSE, EXETER, EX4 1NT",,,10,WHEATLEY CLOSE,,EXETER
"11 WHEATLEY CLOSE, EXETER, EX4 1NT",,,11,WHEATLEY CLOSE,,EXETER
"3 GARLAND CLOSE, EXETER, EX4 2NS",,,3,GARLAND CLOSE,,EXETER
"20 BARLEY LANE, EXETER, EX4 1TD",,,20,BARLEY LANE,,EXETER
"8 WHEATLEY CLOSE, EXETER, EX4 1NT",,,8,WHEATLEY CLOSE,,EXETER
"9 WHEATLEY CLOSE, EXETER, EX4 1NT",,,9,WHEATLEY CLOSE,,EXETER
"23 ST ALBANS CLOSE, EXETER, EX4 2NE",,,23,ST ALBANS CLOSE,,EXETER
"149 GLOUCESTER ROAD, EXETER, EX4 2EB",,,149,GLOUCESTER ROAD,,EXETER
"31 CHELTENHAM CLOSE, EXETER, EX4 2EL",,,31,CHELTENHAM CLOSE,,EXETER
"32 CHELTENHAM CLOSE, EXETER, EX4 2EL",,,32,CHELTENHAM CLOSE,,EXETER
"34 KESTOR DRIVE, EXETER, EX4 2NH",,,34,KESTOR DRIVE,,EXETER
"11 KESTOR DRIVE, EXETER, EX4 2NH",,,11,KESTOR DRIVE,,EXETER
"23 HADRIAN DRIVE, EXETER, EX4 1SR",,,23,HADRIAN DRIVE,,EXETER
"18 FOXTOR ROAD, EXETER, EX4 2NQ",,,18,FOXTOR ROAD,,EXETER
"8 RUSHFORTH PLACE, EXETER, EX4 2NU",,,8,RUSHFORTH PLACE,,EXETER
"52 GARLAND CLOSE, EXETER, EX4 2NT",,,52,GARLAND CLOSE,,EXETER
"7 WHEATLEY CLOSE, EXETER, EX4 1NT",,,7,WHEATLEY CLOSE,,EXETER
"10 BRANSCOMBE CLOSE, EXETER, EX4 1RW",,,10,BRANSCOMBE CLOSE,,EXETER
"23 CHELTENHAM CLOSE, EXETER, EX4 2EL",,,23,CHELTENHAM CLOSE,,EXETER
"2 GARLAND CLOSE, EXETER, EX4 2NS",,,2,GARLAND CLOSE,,EXETER
"16 FORE STREET, IDE, EXETER, EX2 9RQ",,,16,FORE STREET,,IDE
"5 WHEATLEY CLOSE, EXETER, EX4 1NT",,,5,WHEATLEY CLOSE,,EXETER
"6 WHEATLEY CLOSE, EXETER, EX4 1NT",,,6,WHEATLEY CLOSE,,EXETER
"44 HADRIAN DRIVE, EXETER, EX4 1SR",,,44,HADRIAN DRIVE,,EXETER
"17 HEXWORTHY AVENUE, EXETER, EX4 2NL",,,17,HEXWORTHY AVENUE,,EXETER
"257 FARM HILL, EXETER, EX4 2NW",,,257,FARM HILL,,EXETER
"256 FARM HILL, EXETER, EX4 2NW",,,256,FARM HILL,,EXETER
"39 CHELMSFORD ROAD, EXETER, EX4 2LN",,,39,CHELMSFORD ROAD,,EXETER
"109 KINNERTON WAY, EXETER, EX4 2BL",,,109,KINNERTON WAY,,EXETER
"4 CROFT CHASE, EXETER, EX4 1TB",,,4,CROFT CHASE,,EXETER
"28 CROFT CHASE, EXETER, EX4 1TB",,,28,CROFT CHASE,,EXETER
"18 CROFT CHASE, EXETER, EX4 1TB",,,18,CROFT CHASE,,EXETER
"16 HEXWORTHY AVENUE, EXETER, EX4 2NL",,,16,HEXWORTHY AVENUE,,EXETER
"1 GARLAND CLOSE, EXETER, EX4 2NS",,,1,GARLAND CLOSE,,EXETER
"147 GLOUCESTER ROAD, EXETER, EX4 2EB",,,147,GLOUCESTER ROAD,,EXETER
"3 CHELTENHAM CLOSE, EXETER, EX4 2EL",,,3,CHELTENHAM CLOSE,,EXETER
"9 RUSHFORTH PLACE, EXETER, EX4 2NU",,,9,RUSHFORTH PLACE,,EXETER
"53 GARLAND CLOSE, EXETER, EX4 2NT",,,53,GARLAND CLOSE,,EXETER
"32 KESTOR DRIVE, EXETER, EX4 2NH",,,32,KESTOR DRIVE,,EXETER
"15 HEXWORTHY AVENUE, EXETER, EX4 2NL",,,15,HEXWORTHY AVENUE,,EXETER
"62 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NN",,,62,BARLEY FARM ROAD,COWICK,EXETER
"53 ANTONINE CRESCENT, EXETER, EX4 1SP",,,53,ANTONINE CRESCENT,,EXETER
"21 HADRIAN DRIVE, EXETER, EX4 1SR",,,21,HADRIAN DRIVE,,EXETER
"42 HADRIAN DRIVE, EXETER, EX4 1SR",,,42,HADRIAN DRIVE,,EXETER
"24 CHELTENHAM CLOSE, EXETER, EX4 2EL",,,24,CHELTENHAM CLOSE,,EXETER
"28 MEDLEY COURT, EXETER, EX4 2QN",,,28,MEDLEY COURT,,EXETER
"20 FOXTOR ROAD, EXETER, EX4 2NQ",,,20,FOXTOR ROAD,,EXETER
"23 RUSHFORTH PLACE, EXETER, EX4 2NU",,,23,RUSHFORTH PLACE,,EXETER
"22 RUSHFORTH PLACE, EXETER, EX4 2NU",,,22,RUSHFORTH PLACE,,EXETER
"18 BARLEY LANE, EXETER, EX4 1TE",,,18,BARLEY LANE,,EXETER
"107 KINNERTON WAY, EXETER, EX4 2BL",,,107,KINNERTON WAY,,EXETER
"259 FARM HILL, EXETER, EX4 2NW",,,259,FARM HILL,,EXETER
"THE GRANARY, 5 DRAKES FARM, IDE, EXETER, EX2 9RL",,THE GRANARY,5,DRAKES FARM,,IDE
"14 FORE STREET, IDE, EXETER, EX2 9RQ",,,14,FORE STREET,,IDE
"110 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NJ",,,110,BARLEY FARM ROAD,COWICK,EXETER
"39A BARLEY FARM ROAD, COWICK, EXETER, EX4 1NN",,,39A,BARLEY FARM ROAD,COWICK,EXETER
"39 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NN",,,39,BARLEY FARM ROAD,COWICK,EXETER
"51 ANTONINE CRESCENT, EXETER, EX4 1SP",,,51,ANTONINE CRESCENT,,EXETER
"41 CHELMSFORD ROAD, EXETER, EX4 2LN",,,41,CHELMSFORD ROAD,,EXETER
"10 RUSHFORTH PLACE, EXETER, EX4 2NU",,,10,RUSHFORTH PLACE,,EXETER
"THE GRANGE, 10 DRAKES FARM, IDE, EXETER, EX2 9RL",,THE GRANGE,10,DRAKES FARM,,IDE
"THE STABLES, 3 DRAKES FARM, IDE, EXETER, EX2 9RL",,THE STABLES,3,DRAKES FARM,,IDE
"108 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NJ",,,108,BARLEY FARM ROAD,COWICK,EXETER
"37 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NN",,,37,BARLEY FARM ROAD,COWICK,EXETER
"19 BRANSCOMBE CLOSE, EXETER, EX4 1RN",,,19,BRANSCOMBE CLOSE,,EXETER
"9 FOXTOR ROAD, EXETER, EX4 2NQ",,,9,FOXTOR ROAD,,EXETER
"258 FARM HILL, EXETER, EX4 2NW",,,258,FARM HILL,,EXETER
"16 BARLEY LANE, EXETER, EX4 1TE",,,16,BARLEY LANE,,EXETER
"60 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NN",,,60,BARLEY FARM ROAD,COWICK,EXETER
"17 BRANSCOMBE CLOSE, EXETER, EX4 1RN",,,17,BRANSCOMBE CLOSE,,EXETER
"145 GLOUCESTER ROAD, EXETER, EX4 2EB",,,145,GLOUCESTER ROAD,,EXETER
"30 KESTOR DRIVE, EXETER, EX4 2NH",,,30,KESTOR DRIVE,,EXETER
"13 HEXWORTHY AVENUE, EXETER, EX4 2NL",,,13,HEXWORTHY AVENUE,,EXETER
"54 GARLAND CLOSE, EXETER, EX4 2NT",,,54,GARLAND CLOSE,,EXETER
"29 SUSSEX CLOSE, EXETER, EX4 1LP",,,29,SUSSEX CLOSE,,EXETER
"106 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NJ",,,106,BARLEY FARM ROAD,COWICK,EXETER
"15 BRANSCOMBE CLOSE, EXETER, EX4 1RN",,,15,BRANSCOMBE CLOSE,,EXETER
"40 HADRIAN DRIVE, EXETER, EX4 1SR",,,40,HADRIAN DRIVE,,EXETER
"105 KINNERTON WAY, EXETER, EX4 2BL",,,105,KINNERTON WAY,,EXETER
"14 HEXWORTHY AVENUE, EXETER, EX4 2NL",,,14,HEXWORTHY AVENUE,,EXETER
"14 BARLEY LANE, EXETER, EX4 1TE",,,14,BARLEY LANE,,EXETER
"104 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NJ",,,104,BARLEY FARM ROAD,COWICK,EXETER
"13 BRANSCOMBE CLOSE, EXETER, EX4 1RN",,,13,BRANSCOMBE CLOSE,,EXETER
"25 CHELTENHAM CLOSE, EXETER, EX4 2EL",,,25,CHELTENHAM CLOSE,,EXETER
"2 CHELTENHAM CLOSE, EXETER, EX4 2EL",,,2,CHELTENHAM CLOSE,,EXETER
"11 RUSHFORTH PLACE, EXETER, EX4 2NU",,,11,RUSHFORTH PLACE,,EXETER
"12 FORE STREET, IDE, EXETER, EX2 9RQ",,,12,FORE STREET,,IDE
"102 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NJ",,,102,BARLEY FARM ROAD,COWICK,EXETER
"9 BRANSCOMBE CLOSE, EXETER, EX4 1RN",,,9,BRANSCOMBE CLOSE,,EXETER
"11 BRANSCOMBE CLOSE, EXETER, EX4 1RN",,,11,BRANSCOMBE CLOSE,,EXETER
"22 FOXTOR ROAD, EXETER, EX4 2NQ",,,22,FOXTOR ROAD,,EXETER
"8 BRANSCOMBE CLOSE, EXETER, EX4 1RW",,,8,BRANSCOMBE CLOSE,,EXETER
"19 HADRIAN DRIVE, EXETER, EX4 1SR",,,19,HADRIAN DRIVE,,EXETER
"43 CHELMSFORD ROAD, EXETER, EX4 2LN",,,43,CHELMSFORD ROAD,,EXETER
"28 KESTOR DRIVE, EXETER, EX4 2NH",,,28,KESTOR DRIVE,,EXETER
"55 GARLAND CLOSE, EXETER, EX4 2NT",,,55,GARLAND CLOSE,,EXETER
"THE MEWS, 3A DRAKES FARM, IDE, EXETER, EX2 9RL",,THE MEWS,3A,DRAKES FARM,,IDE
"18 ST ALBANS CLOSE, EXETER, EX4 2NE",,,18,ST ALBANS CLOSE,,EXETER
"143 GLOUCESTER ROAD, EXETER, EX4 2EB",,,143,GLOUCESTER ROAD,,EXETER
"41 PETERBOROUGH ROAD, EXETER, EX4 2EG",,,41,PETERBOROUGH ROAD,,EXETER
"11 HEXWORTHY AVENUE, EXETER, EX4 2NL",,,11,HEXWORTHY AVENUE,,EXETER
"27 SUSSEX CLOSE, EXETER, EX4 1LP",,,27,SUSSEX CLOSE,,EXETER
"5 CROFT CHASE, EXETER, EX4 1TB",,,5,CROFT CHASE,,EXETER
"58 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NN",,,58,BARLEY FARM ROAD,COWICK,EXETER
"28 HADRIAN DRIVE, EXETER, EX4 1SR",,,28,HADRIAN DRIVE,,EXETER
"20 ST ALBANS CLOSE, EXETER, EX4 2NE",,,20,ST ALBANS CLOSE,,EXETER
"22 ST ALBANS CLOSE, EXETER, EX4 2NE",,,22,ST ALBANS CLOSE,,EXETER
"103 KINNERTON WAY, EXETER, EX4 2BL",,,103,KINNERTON WAY,,EXETER
"255 FARM HILL, EXETER, EX4 2NW",,,255,FARM HILL,,EXETER
"25 SUSSEX CLOSE, EXETER, EX4 1LP",,,25,SUSSEX CLOSE,,EXETER
"17 CROFT CHASE, EXETER, EX4 1TB",,,17,CROFT CHASE,,EXETER
"24 ST ALBANS CLOSE, EXETER, EX4 2NE",,,24,ST ALBANS CLOSE,,EXETER
"29 MEDLEY COURT, EXETER, EX4 2QN",,,29,MEDLEY COURT,,EXETER
"21 SUSSEX CLOSE, EXETER, EX4 1LP",,,21,SUSSEX CLOSE,,EXETER
"23 SUSSEX CLOSE, EXETER, EX4 1LP",,,23,SUSSEX CLOSE,,EXETER
"27 CROFT CHASE, EXETER, EX4 1TB",,,27,CROFT CHASE,,EXETER
"26 ST ALBANS CLOSE, EXETER, EX4 2NE",,,26,ST ALBANS CLOSE,,EXETER
"26 CHELTENHAM CLOSE, EXETER, EX4 2EL",,,26,CHELTENHAM CLOSE,,EXETER
"11 FOXTOR ROAD, EXETER, EX4 2NQ",,,11,FOXTOR ROAD,,EXETER
"12 BARLEY LANE, EXETER, EX4 1TE",,,12,BARLEY LANE,,EXETER
"39 PETERBOROUGH ROAD, EXETER, EX4 2EG",,,39,PETERBOROUGH ROAD,,EXETER
"26 KESTOR DRIVE, EXETER, EX4 2NH",,,26,KESTOR DRIVE,,EXETER
"12 HEXWORTHY AVENUE, EXETER, EX4 2NL",,,12,HEXWORTHY AVENUE,,EXETER
"47 ANTONINE CRESCENT, EXETER, EX4 1SP",,,47,ANTONINE CRESCENT,,EXETER
"49 ANTONINE CRESCENT, EXETER, EX4 1SP",,,49,ANTONINE CRESCENT,,EXETER
"45 CHELMSFORD ROAD, EXETER, EX4 2LN",,,45,CHELMSFORD ROAD,,EXETER
"141 GLOUCESTER ROAD, EXETER, EX4 2EB",,,141,GLOUCESTER ROAD,,EXETER
"1 CHELTENHAM CLOSE, EXETER, EX4 2EL",,,1,CHELTENHAM CLOSE,,EXETER
"24 FOXTOR ROAD, EXETER, EX4 2NQ",,,24,FOXTOR ROAD,,EXETER
"9 HEXWORTHY AVENUE, EXETER, EX4 2NL",,,9,HEXWORTHY AVENUE,,EXETER
"254 FARM HILL, EXETER, EX4 2NW",,,254,FARM HILL,,EXETER
"56 GARLAND CLOSE, EXETER, EX4 2NT",,,56,GARLAND CLOSE,,EXETER
"19 SUSSEX CLOSE, EXETER, EX4 1LP",,,19,SUSSEX CLOSE,,EXETER
"17 HADRIAN DRIVE, EXETER, EX4 1SR",,,17,HADRIAN DRIVE,,EXETER
"GRND FLR FLT RIGHT, 14 WESTMINSTER ROAD, EXETER, EX4 2LL",GRND FLR FLT RIGHT,,14,WESTMINSTER ROAD,,EXETER
"GRND FLR FLT LEFT, 14 WESTMINSTER ROAD, EXETER, EX4 2LL",GRND FLR FLT LEFT,,14,WESTMINSTER ROAD,,EXETER
"ROOM 1, 14 WESTMINSTER ROAD, EXETER, EX4 2LL",ROOM 1,,14,WESTMINSTER ROAD,,EXETER
"ROOM 2, 14 WESTMINSTER ROAD, EXETER, EX4 2LL",ROOM 2,,14,WESTMINSTER ROAD,,EXETER
"ROOM 3, 14 WESTMINSTER ROAD, EXETER, EX4 2LL",ROOM 3,,14,WESTMINSTER ROAD,,EXETER
"ROOM 4, 14 WESTMINSTER ROAD, EXETER, EX4 2LL",ROOM 4,,14,WESTMINSTER ROAD,,EXETER
"ROOM 5, 14 WESTMINSTER ROAD, EXETER, EX4 2LL",ROOM 5,,14,WESTMINSTER ROAD,,EXETER
"ROOM 6, 14 WESTMINSTER ROAD, EXETER, EX4 2LL",ROOM 6,,14,WESTMINSTER ROAD,,EXETER
"14 WESTMINSTER ROAD, EXETER, EX4 2LL",,,14,WESTMINSTER ROAD,,EXETER
"35 PETERBOROUGH ROAD, EXETER, EX4 2EG",,,35,PETERBOROUGH ROAD,,EXETER
"37 PETERBOROUGH ROAD, EXETER, EX4 2EG",,,37,PETERBOROUGH ROAD,,EXETER
"22 MEDLEY COURT, EXETER, EX4 2QN",,,22,MEDLEY COURT,,EXETER
"21 MEDLEY COURT, EXETER, EX4 2QN",,,21,MEDLEY COURT,,EXETER
"20 MEDLEY COURT, EXETER, EX4 2QN",,,20,MEDLEY COURT,,EXETER
"19 MEDLEY COURT, EXETER, EX4 2QN",,,19,MEDLEY COURT,,EXETER
"26 CROFT CHASE, EXETER, EX4 1TB",,,26,CROFT CHASE,,EXETER
"24 HADRIAN DRIVE, EXETER, EX4 1SR",,,24,HADRIAN DRIVE,,EXETER
"26 HADRIAN DRIVE, EXETER, EX4 1SR",,,26,HADRIAN DRIVE,,EXETER
"31 PETERBOROUGH ROAD, EXETER, EX4 2EG",,,31,PETERBOROUGH ROAD,,EXETER
"101 KINNERTON WAY, EXETER, EX4 2BL",,,101,KINNERTON WAY,,EXETER
"15 FORE STREET, IDE, EXETER, EX2 9RQ",,,15,FORE STREET,,IDE
"10 BARLEY LANE, EXETER, EX4 1TE",,,10,BARLEY LANE,,EXETER
"17 SUSSEX CLOSE, EXETER, EX4 1LP",,,17,SUSSEX CLOSE,,EXETER
"56 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NN",,,56,BARLEY FARM ROAD,COWICK,EXETER
"6 BRANSCOMBE CLOSE, EXETER, EX4 1RW",,,6,BRANSCOMBE CLOSE,,EXETER
"33 PETERBOROUGH ROAD, EXETER, EX4 2EG",,,33,PETERBOROUGH ROAD,,EXETER
"9 KESTOR DRIVE, EXETER, EX4 2NH",,,9,KESTOR DRIVE,,EXETER
"15 SUSSEX CLOSE, EXETER, EX4 1LP",,,15,SUSSEX CLOSE,,EXETER
"THE FORGE, 7 DRAKES FARM, IDE, EXETER, EX2 9RL",,THE FORGE,7,DRAKES FARM,,IDE
"10A FORE STREET, IDE, EXETER, EX2 9RQ",,,10A,FORE STREET,,IDE
"41 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NJ",,,41,BARLEY FARM ROAD,COWICK,EXETER
"139 GLOUCESTER ROAD, EXETER, EX4 2EB",,,139,GLOUCESTER ROAD,,EXETER
"27 CHELTENHAM CLOSE, EXETER, EX4 2EL",,,27,CHELTENHAM CLOSE,,EXETER
"7 HEXWORTHY AVENUE, EXETER, EX4 2NL",,,7,HEXWORTHY AVENUE,,EXETER
"57 GARLAND CLOSE, EXETER, EX4 2NT",,,57,GARLAND CLOSE,,EXETER
"35 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NN",,,35,BARLEY FARM ROAD,COWICK,EXETER
"21 RUSHFORTH PLACE, EXETER, EX4 2NU",,,21,RUSHFORTH PLACE,,EXETER
"13 SUSSEX CLOSE, EXETER, EX4 1LP",,,13,SUSSEX CLOSE,,EXETER
"16 CROFT CHASE, EXETER, EX4 1TB",,,16,CROFT CHASE,,EXETER
"7 BRANSCOMBE CLOSE, EXETER, EX4 1RN",,,7,BRANSCOMBE CLOSE,,EXETER
"47 CHELMSFORD ROAD, EXETER, EX4 2LN",,,47,CHELMSFORD ROAD,,EXETER
"8 BARLEY LANE, EXETER, EX4 1TE",,,8,BARLEY LANE,,EXETER
"33 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NN",,,33,BARLEY FARM ROAD,COWICK,EXETER
"30 HADRIAN DRIVE, EXETER, EX4 1SR",,,30,HADRIAN DRIVE,,EXETER
"32 HADRIAN DRIVE, EXETER, EX4 1SR",,,32,HADRIAN DRIVE,,EXETER
"34 HADRIAN DRIVE, EXETER, EX4 1SR",,,34,HADRIAN DRIVE,,EXETER
"36 HADRIAN DRIVE, EXETER, EX4 1SR",,,36,HADRIAN DRIVE,,EXETER
"38 HADRIAN DRIVE, EXETER, EX4 1SR",,,38,HADRIAN DRIVE,,EXETER
"13 FOXTOR ROAD, EXETER, EX4 2NQ",,,13,FOXTOR ROAD,,EXETER
"54 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NN",,,54,BARLEY FARM ROAD,COWICK,EXETER
"15 HADRIAN DRIVE, EXETER, EX4 1SR",,,15,HADRIAN DRIVE,,EXETER
"15 WESTMINSTER ROAD, EXETER, EX4 2LL",,,15,WESTMINSTER ROAD,,EXETER
"26 FOXTOR ROAD, EXETER, EX4 2NQ",,,26,FOXTOR ROAD,,EXETER
"253 FARM HILL, EXETER, EX4 2NW",,,253,FARM HILL,,EXETER
"58 GARLAND CLOSE, EXETER, EX4 2NT",,,58,GARLAND CLOSE,,EXETER
"10 FORE STREET, IDE, EXETER, EX2 9RQ",,,10,FORE STREET,,IDE
"30 MEDLEY COURT, EXETER, EX4 2QN",,,30,MEDLEY COURT,,EXETER
"20 RUSHFORTH PLACE, EXETER, EX4 2NU",,,20,RUSHFORTH PLACE,,EXETER
"11 SUSSEX CLOSE, EXETER, EX4 1LP",,,11,SUSSEX CLOSE,,EXETER
"43 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NJ",,,43,BARLEY FARM ROAD,COWICK,EXETER
"137 GLOUCESTER ROAD, EXETER, EX4 2EB",,,137,GLOUCESTER ROAD,,EXETER
"112 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NJ",,,112,BARLEY FARM ROAD,COWICK,EXETER
"114 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NJ",,,114,BARLEY FARM ROAD,COWICK,EXETER
"116 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NJ",,,116,BARLEY FARM ROAD,COWICK,EXETER
"31 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NN",,,31,BARLEY FARM ROAD,COWICK,EXETER
"52 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NN",,,52,BARLEY FARM ROAD,COWICK,EXETER
"28 CHELTENHAM CLOSE, EXETER, EX4 2EL",,,28,CHELTENHAM CLOSE,,EXETER
"15 FOXTOR ROAD, EXETER, EX4 2NQ",,,15,FOXTOR ROAD,,EXETER
"5 BRANSCOMBE CLOSE, EXETER, EX4 1RN",,,5,BRANSCOMBE CLOSE,,EXETER
"13 HADRIAN DRIVE, EXETER, EX4 1SR",,,13,HADRIAN DRIVE,,EXETER
"24 KESTOR DRIVE, EXETER, EX4 2NH",,,24,KESTOR DRIVE,,EXETER
"5 HEXWORTHY AVENUE, EXETER, EX4 2NL",,,5,HEXWORTHY AVENUE,,EXETER
"19 RUSHFORTH PLACE, EXETER, EX4 2NU",,,19,RUSHFORTH PLACE,,EXETER
"59 GARLAND CLOSE, EXETER, EX4 2NT",,,59,GARLAND CLOSE,,EXETER
"11 FORE STREET, IDE, EXETER, EX2 9RQ",,,11,FORE STREET,,IDE
"6 BARLEY LANE, EXETER, EX4 1TE",,,6,BARLEY LANE,,EXETER
"9 SUSSEX CLOSE, EXETER, EX4 1LP",,,9,SUSSEX CLOSE,,EXETER
"6 CROFT CHASE, EXETER, EX4 1TB",,,6,CROFT CHASE,,EXETER
"22 HADRIAN DRIVE, EXETER, EX4 1SR",,,22,HADRIAN DRIVE,,EXETER
"31 MEDLEY COURT, EXETER, EX4 2QN",,,31,MEDLEY COURT,,EXETER
"8 FORE STREET, IDE, EXETER, EX2 9RQ",,,8,FORE STREET,,IDE
"252 FARM HILL, EXETER, EX4 2NW",,,252,FARM HILL,,EXETER
"118 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NJ",,,118,BARLEY FARM ROAD,COWICK,EXETER
"29 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NN",,,29,BARLEY FARM ROAD,COWICK,EXETER
"135 GLOUCESTER ROAD, EXETER, EX4 2EB",,,135,GLOUCESTER ROAD,,EXETER
"32 MEDLEY COURT, EXETER, EX4 2QN",,,32,MEDLEY COURT,,EXETER
"33 MEDLEY COURT, EXETER, EX4 2QN",,,33,MEDLEY COURT,,EXETER
"7 SUSSEX CLOSE, EXETER, EX4 1LP",,,7,SUSSEX CLOSE,,EXETER
"120 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NJ",,,120,BARLEY FARM ROAD,COWICK,EXETER
"38 ANTONINE CRESCENT, EXETER, EX4 1SP",,,38,ANTONINE CRESCENT,,EXETER
"29 CHELTENHAM CLOSE, EXETER, EX4 2EL",,,29,CHELTENHAM CLOSE,,EXETER
"28 FOXTOR ROAD, EXETER, EX4 2NQ",,,28,FOXTOR ROAD,,EXETER
"45 ANTONINE CRESCENT, EXETER, EX4 1SP",,,45,ANTONINE CRESCENT,,EXETER
"16 WESTMINSTER ROAD, EXETER, EX4 2LL",,,16,WESTMINSTER ROAD,,EXETER
"6 FORE STREET, IDE, EXETER, EX2 9RQ",,,6,FORE STREET,,IDE
"20 HADRIAN DRIVE, EXETER, EX4 1SR",,,20,HADRIAN DRIVE,,EXETER
"22 KESTOR DRIVE, EXETER, EX4 2NH",,,22,KESTOR DRIVE,,EXETER
"4 BARLEY LANE, EXETER, EX4 1TE",,,4,BARLEY LANE,,EXETER
"47 SOMERSET AVENUE, EXETER, EX4 1LW",,,47,SOMERSET AVENUE,,EXETER
"5 SUSSEX CLOSE, EXETER, EX4 1LP",,,5,SUSSEX CLOSE,,EXETER
"45 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NJ",,,45,BARLEY FARM ROAD,COWICK,EXETER
"27 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NN",,,27,BARLEY FARM ROAD,COWICK,EXETER
"7 KESTOR DRIVE, EXETER, EX4 2NH",,,7,KESTOR DRIVE,,EXETER
"15 RUSHFORTH PLACE, EXETER, EX4 2NU",,,15,RUSHFORTH PLACE,,EXETER
"18 RUSHFORTH PLACE, EXETER, EX4 2NU",,,18,RUSHFORTH PLACE,,EXETER
"50 BARLEY FARM ROAD, COWICK, EXETER, EX4 1NN",,,50,BARLEY FARM ROAD,COWICK,EXETER
"11 HADRIAN DRIVE, EXETER, EX4 1SR",,,11,HADRIAN DRIVE,,EXETER
"14 RUSHFORTH PLACE, EXETER, EX4 2NU",,,14,RUSHFORTH PLACE,,EXETER
"4 FORE STREET, IDE, EXETER, EX2 9RQ",,,4,FORE STREET,,IDE
